sampleSize,hybridSort,keycomp
1061,3894219,141260
1062,3960514,141526
1063,3787108,141792
1064,3824169,142057
1065,4183817,142325
1066,4320169,142592
1067,4126953,142859
1068,4191364,143125
1069,4121887,143394
1070,4124800,143662
1071,4155308,143930
1072,4185883,144197
1073,4031237,144467
1074,4595606,144736
1075,7420669,145005
1076,7506225,145273
1077,5971107,145544
1078,4790353,145814
1079,5613768,146084
1080,4185153,146353
1081,4066923,146625
1082,3972494,146896
1083,4267542,147167
1084,4428992,147437
1085,4464702,147710
1086,4426031,147982
1087,4413086,148254
1088,4184363,148525
1089,3942906,148799
1090,4075660,149072
1091,3995925,149345
1092,4022526,149617
1093,4159502,149892
1094,4961797,150166
1095,4083967,150440
1096,3919989,150713
1097,4119091,150989
1098,4124107,151264
1099,4084657,151539
1100,4108857,151813
1101,4904567,152090
1102,8890587,152366
1103,9860952,152642
1104,9971492,152917
1105,6379509,153195
1106,4698245,153472
1107,5224471,153749
1108,4342971,154025
1109,4190073,154304
1110,4069732,154582
1111,4149057,154860
1112,4064934,155137
1113,4081349,155417
1114,4113705,155696
1115,4291095,155975
1116,4909902,156253
1117,4752870,156534
1118,4693348,156814
1119,4764531,157094
1120,5125609,157373
1121,4687059,157655
1122,4529337,157936
1123,4466202,158217
1124,4493621,158497
1125,4553883,158780
1126,4567743,159062
1127,4767041,159344
1128,4333077,159625
1129,4761016,159909
1130,4174657,160192
1131,4237310,160475
1132,4150716,160757
1133,4151363,161042
1134,4141570,161326
1135,4366410,161610
1136,4353607,161893
1137,4226522,162179
1138,4174405,162464
1139,4383579,162749
1140,4982614,163033
1141,4964338,163320
1142,4940124,163606
1143,4655464,163892
1144,4227458,164177
1145,4477014,164465
1146,4943046,164752
1147,4949927,165039
1148,5925432,165325
1149,5437613,165614
1150,5041296,165902
1151,5034573,166190
1152,5102321,166477
1153,5017948,166767
1154,5070664,167056
1155,4846810,167345
1156,5422741,167633
1157,4869064,167924
1158,5093225,168214
1159,4677001,168504
1160,4692761,168793
1161,7347095,169085
1162,9621198,169376
1163,9803846,169667
1164,8802201,169957
1165,5178724,170250
1166,5092797,170542
1167,5164562,170834
1168,4196983,171125
1169,4188193,171419
1170,4140328,171712
1171,4513073,172005
1172,4621651,172297
1173,4598130,172592
1174,5078007,172886
1175,5624360,173180
1176,5766833,173473
1177,5598219,173769
1178,5588541,174064
1179,5314018,174359
1180,5235923,174653
1181,5320720,174950
1182,5269060,175246
1183,5685253,175542
1184,5443204,175837
1185,5330119,176135
1186,5032082,176432
1187,4909628,176729
1188,6354906,177025
1189,7592569,177324
1190,4898015,177622
1191,9659802,177920
1192,5373950,178217
1193,5337893,178517
1194,5511213,178816
1195,5569082,179115
1196,5544552,179413
1197,5593300,179714
1198,5603757,180014
1199,5714209,180314
1200,5571575,180613
1201,5541114,180915
1202,5548668,181216
1203,5584347,181517
1204,5677438,181817
1205,5044024,182120
1206,5044412,182422
1207,4885883,182724
1208,5015318,183025
1209,5117767,183329
1210,5428335,183632
1211,7612808,183935
1212,5697194,184237
1213,4733204,184542
1214,4478505,184846
1215,4481779,185150
1216,4196861,185453
1217,4258182,185759
1218,4320561,186064
1219,4363901,186369
1220,4921698,186673
1221,4504567,163728
1222,3798787,140782
1223,3117328,117836
1224,2480570,94889
1225,2524517,95045
1226,2425803,95200
1227,2411069,95355
1228,2471753,95509
1229,2390703,95664
1230,2290585,95818
1231,2318661,95972
1232,2630322,96125
1233,2937983,96282
1234,2672019,96438
1235,3903955,96594
1236,5392295,96749
1237,5444708,96905
1238,5314586,97060
1239,5411022,97215
1240,5485729,97369
1241,3197436,97527
1242,2967477,97684
1243,3002015,97841
1244,3089603,97997
1245,2859343,98154
1246,3536930,98310
1247,2267367,98466
1248,2272926,98621
1249,2253129,98780
1250,2276205,98938
1251,2279306,99096
1252,2311788,99253
1253,2259745,99411
1254,2281535,99568
1255,2287760,99725
1256,2401568,99881
1257,2417394,100041
1258,2305084,100200
1259,2557534,100359
1260,2338897,100517
1261,2386419,100676
1262,2532697,100834
1263,2615143,100992
1264,2637435,101149
1265,2458632,101310
1266,2500050,101470
1267,2723916,101630
1268,3095273,101789
1269,3017470,101949
1270,3086603,102108
1271,2870285,102267
1272,2881152,102425
1273,3020631,102587
1274,2882564,102748
1275,2900349,102909
1276,2591894,103069
1277,3008714,103230
1278,3056652,103390
1279,3116812,103550
1280,2960615,103709
1281,3617648,103872
1282,4762479,104034
1283,4832288,104196
1284,3714033,104357
1285,3415899,104519
1286,3139511,104680
1287,3072737,104841
1288,3294126,105001
1289,3232869,105165
1290,2508533,105328
1291,2559627,105491
1292,2563806,105653
1293,2576960,105816
1294,2411540,105978
1295,2925293,106140
1296,3385113,106301
1297,2932333,106466
1298,2890532,106630
1299,3229988,106794
1300,3282274,106957
1301,3416304,107121
1302,3064494,107284
1303,2677853,107447
1304,2685321,107609
1305,2713988,107775
1306,3243718,107940
1307,3019272,108105
1308,3050423,108269
1309,3082837,108434
1310,3123097,108598
1311,3089604,108762
1312,3058659,108925
1313,3097600,109092
1314,3124776,109258
1315,3093661,109424
1316,3165581,109589
1317,2998685,109755
1318,3586174,109920
1319,3201322,110085
1320,3024628,110249
1321,3205229,110417
1322,3167615,110584
1323,3069084,110751
1324,3193100,110917
1325,3117783,111084
1326,3093356,111250
1327,3021853,111416
1328,2990844,111581
1329,3008672,111750
1330,3014912,111918
1331,3090678,112086
1332,2830800,112253
1333,3108128,112421
1334,3088090,112588
1335,3026256,112755
1336,2918681,112921
1337,2216914,113091
1338,2176838,113260
1339,2405370,113429
1340,2688930,113597
1341,4527079,113766
1342,3015302,113934
1343,3254361,114102
1344,3116782,114269
1345,3140801,114440
1346,3127683,114610
1347,3509923,114780
1348,3255738,114949
1349,3162625,115119
1350,3311607,115288
1351,3087334,115457
1352,2758279,115625
1353,2733631,115797
1354,2709206,115968
1355,2669859,116139
1356,2705264,116309
1357,2902417,116480
1358,3117764,116650
1359,3058899,116820
1360,3350798,116989
1361,3705619,117162
1362,4394404,117334
1363,3566985,117506
1364,3579008,117677
1365,3358586,117849
1366,5803367,118020
1367,6722617,118191
1368,5459571,118361
1369,3616629,118535
1370,3125819,118708
1371,3153099,118881
1372,3492817,119053
1373,3723099,119226
1374,3488668,119398
1375,3710216,119570
1376,3718904,119741
1377,3688478,119916
1378,3657187,120090
1379,3319377,120264
1380,2981178,120437
1381,3239590,120611
1382,3000327,120784
1383,2812717,120957
1384,2840454,121129
1385,2805946,121305
1386,2844448,121480
1387,3716314,121655
1388,3473766,121829
1389,3426526,122004
1390,4265874,122178
1391,5283810,122352
1392,3639635,122525
1393,3767465,122702
1394,3656508,122878
1395,3498510,123054
1396,3735822,123229
1397,3507902,123405
1398,3680018,123580
1399,3646707,123755
1400,3594468,123929
1401,4852001,124107
1402,3661925,124284
1403,3760054,124461
1404,3620428,124637
1405,3628758,124814
1406,3516753,124990
1407,3604953,125166
1408,3753825,125341
1409,4074388,125520
1410,3955089,125698
1411,4074980,125876
1412,3324092,126053
1413,3128192,126231
