sampleSize,mergeSort,keycomp
738,1395813,5184
739,1437022,5192
740,1304028,5199
741,1302670,5207
742,1457060,5214
743,1283097,5221
744,1296688,5227
745,1299604,5235
746,1569597,5242
747,1298998,5249
748,1351670,5255
749,1477595,5262
750,1281699,5268
751,1269822,5274
752,1175107,5279
753,1203793,5287
754,1176133,5294
755,1168781,5301
756,1205521,5307
757,1195350,5314
758,1197765,5320
759,1183084,5326
760,1188638,5331
761,1207332,5338
762,1160627,5344
763,1170244,5350
764,1169856,5355
765,1199741,5361
766,1187551,5366
767,1192443,5371
768,1175229,5375
769,1191081,5386
770,1172744,5396
771,1172586,5406
772,1174841,5415
773,1185180,5425
774,1203395,5434
775,1204514,5443
776,1190905,5451
777,1278245,5461
778,1263861,5470
779,1210427,5479
780,1209899,5487
781,1257587,5496
782,1221337,5504
783,1221253,5512
784,1197014,5519
785,1244381,5529
786,1238553,5538
787,1230359,5547
788,1217440,5555
789,1266598,5564
790,1259576,5572
791,1262652,5580
792,1258429,5587
793,1261648,5596
794,1247271,5604
795,1240134,5612
796,1260496,5619
797,1288293,5627
798,1243775,5634
799,1245288,5641
800,1243294,5647
801,1325646,5657
802,1258514,5666
803,1279985,5675
804,1253857,5683
805,1291842,5692
806,1281491,5700
807,1732949,5708
808,1460475,5715
809,1340313,5724
810,1324441,5732
811,1313066,5740
812,1375892,5747
813,1395745,5755
814,1340550,5762
815,1385097,5769
816,1588257,5775
817,1340708,5784
818,1312073,5792
819,1393696,5800
820,1334058,5807
821,1324605,5815
822,1318028,5822
823,1346975,5829
824,1267622,5835
825,1335492,5843
826,1331038,5850
827,1347917,5857
828,1365977,5863
829,1667531,5870
830,1651151,5876
831,1465108,5882
832,1607944,5887
833,1645423,5897
834,1515021,5906
835,1205798,5915
836,1264895,5923
837,1256096,5932
838,1348692,5940
839,1221980,5948
840,1210727,5955
841,1352837,5964
842,1203211,5972
843,1207344,5980
844,1188772,5987
845,1109069,5995
846,1112254,6002
847,1363764,6009
848,1361918,6015
849,1404843,6024
850,1369971,6032
851,1420733,6040
852,1483073,6047
853,1830067,6055
854,1876206,6062
855,2181720,6069
856,1196249,6075
857,1166128,6083
858,1178491,6090
859,1186982,6097
860,1181492,6103
861,1159227,6110
862,1166911,6116
863,1207348,6122
864,1169641,6127
865,1180932,6136
866,1194546,6144
867,1172992,6152
868,1178336,6159
869,1777232,6167
870,1504582,6174
871,1506140,6181
872,1484186,6187
873,1483068,6195
874,1468665,6202
875,1516048,6209
876,1503602,6215
877,1497180,6222
878,1507288,6228
879,1785865,6234
880,1398323,6239
881,1436865,6247
882,1454851,6254
883,1475055,6261
884,1482137,6267
885,1410723,6274
886,1409858,6280
887,1431468,6286
888,1402751,6291
889,1526176,6298
890,1666626,6304
891,1360298,6310
892,1417318,6315
893,1517430,6321
894,1706138,6326
895,1743761,6331
896,1511450,6335
897,1746439,6345
898,1589907,6354
899,1580801,6363
900,1720972,6371
901,1741234,6380
902,1548934,6388
903,1784498,6396
904,1559180,6403
905,1555356,6412
906,1620760,6420
907,1715335,6428
908,1585349,6435
909,1705363,6443
910,1631000,6450
911,1571618,6457
912,1603886,6463
913,1660887,6472
914,1511303,6480
915,1677826,6488
916,1529663,6495
917,1525864,6503
918,1555607,6510
919,1675471,6517
920,1544815,6523
921,1584876,6531
922,1693288,6538
923,1517198,6545
924,1424480,6551
925,1407410,6558
926,1391194,6564
927,1391694,6570
928,1435988,6575
