sampleSize,timing,keycomp
3636000,8110258244,81974274
3641000,7776034915,82093609
3646000,7744169928,82211846
3651000,7711754359,82331318
3656000,8180994343,82451413
3661000,7913512164,82571117
3666000,7781245665,82690079
3671000,7943796884,82812254
3676000,8352663446,82931387
3681000,8039194477,83049832
3686000,7833373983,83169490
3691000,7753659000,83290156
3696000,8692550527,83408902
3701000,8374310503,83530760
3706000,8528422765,83650986
3711000,8643779735,83769672
3716000,8793342488,83886922
3721000,8323601115,84010237
3726000,8219944024,84127174
3731000,10001556339,84248782
3736000,9752984616,84367342
3741000,9224671625,84488919
3746000,9333408120,84607748
3751000,9106304255,84728647
3756000,8330636971,84848751
3761000,8268337517,84968028
3766000,8789336620,85085429
3771000,8575501183,85205519
3776000,8251335823,85329492
3781000,8213201021,85447573
3786000,8613494845,85565455
3791000,8103171083,85684971
3796000,8193221570,85807380
3801000,8319234825,85926212
3806000,9128385530,86046044
3811000,8601882541,86164228
3816000,8507091046,86287181
3821000,9121927967,86405414
3826000,8544399865,86526295
3831000,8360322707,86646472
3836000,8610679599,86765460
3841000,9048028417,86883854
3846000,8798515323,87005627
3851000,8462385718,87124991
3856000,8758467386,87244428
3861000,8384943351,87362927
3866000,8381510994,87482563
3871000,9252771038,87602719
3876000,8778236681,87724264
3881000,8647343452,87844049
3886000,8541029136,87962363
3891000,8709008964,88084522
3896000,8799238762,88203475
3901000,8999336173,88322336
3906000,9036937151,88442322
3911000,10342814820,88562669
3916000,8554789259,88681793
3921000,8105028434,88803208
3926000,8298612112,88921973
3931000,8325755533,89041578
3936000,8402583970,89161897
3941000,8995917721,89281051
3946000,8627272038,89401421
3951000,8069484488,89519237
3956000,8603709995,89641192
3961000,8208812471,89762193
3966000,8396793059,89882242
3971000,8292971364,90001780
3976000,8402567573,90121235
3981000,8522452006,90241433
3986000,8816518108,90363750
3991000,8721824923,90479957
3996000,8812013006,90600344
4001000,8688386440,90720932
4006000,8404419834,90840856
4011000,8556531358,90961752
4016000,8739720737,91083680
4021000,9267749734,91200714
4026000,9225032790,91321480
4031000,9370099691,91441051
4036000,9326712548,91560479
4041000,8990753876,91681090
4046000,9074402643,91802791
4051000,8985799064,91920611
4056000,9005642341,92041186
4061000,8756981289,92160710
4066000,9561046831,92283048
4071000,9306576083,92401305
4076000,8673313116,92520718
4081000,8547525778,92640425
4086000,8696580122,92760855
4091000,8840504351,92880634
4096000,8516199470,93000112
4101000,8610937525,93120907
4106000,9047314046,93241206
4111000,9470357607,93359342
4116000,8472417270,93481806
4121000,8813873847,93601596
4126000,9289919683,93720966
4131000,8936606721,93840466
4136000,8993027490,93962814
4141000,9529536040,94080014
4146000,9039720762,94198869
4151000,9077762066,94320510
4156000,9156601776,94438825
4161000,9065721679,94560871
4166000,9052467522,94678854
4171000,9119766636,94798902
4176000,9603261386,94919107
4181000,9207962532,95039872
4186000,9059542318,95161850
4191000,9383877866,95280835
4196000,9240678133,95402626
4201000,9070027300,95523267
4206000,9331760659,95644052
4211000,9711348813,95767458
4216000,9839313253,95888782
4221000,10398469566,96011539
4226000,10661998794,96133780
4231000,9471593696,96254432
4236000,9768300700,96376874
4241000,10209604815,96500496
4246000,10607563838,96619481
4251000,10566492562,96742621
4256000,10475247400,96867196
4261000,9644401697,96988981
4266000,9697424806,97110656
4271000,10216293420,97233896
4276000,10442905421,97352849
4281000,9851996878,97476151
4286000,10021956225,97596829
4291000,9689562566,97719408
4296000,10603393839,97839766
4301000,10460136408,97963349
4306000,9805526029,98085001
4311000,10496698805,98208747
4316000,9941861068,98330806
4321000,10763187680,98453108
4326000,10072739172,98573681
4331000,10230713188,98695782
4336000,10463559154,98818241
4341000,9928422860,98939743
4346000,9689447957,99061184
4351000,9358848088,99184542
4356000,10099403726,99305934
4361000,10394764045,99428377
4366000,10137457260,99548251
4371000,10328089476,99673859
4376000,10201345658,99796257
4381000,10071324545,99915395
4386000,10042485696,100039445
4391000,10167641357,100160420
4396000,10000774550,100281988
4401000,9996872904,100405516
4406000,9925795982,100526434
4411000,10230659059,100648658
4416000,10093993643,100772014
4421000,10765743133,100891930
4426000,10385743836,101013668
4431000,10022608747,101136274
4436000,10454467817,101260822
4441000,10371904109,101377412
