sampleSize,value,timing,keycomp
10000,807,13877722,1618971
10000,808,14776900,1595124
10000,809,15772521,1587800
10000,810,14315593,1615080
10000,811,14686165,1609120
10000,812,15785417,1591645
10000,813,12679435,1606569
10000,814,16049733,1586080
10000,815,11829503,1619497
10000,816,13079597,1607672
10000,817,12716997,1604163
10000,818,13911094,1607076
10000,819,11362931,1597364
10000,820,11606776,1593682
10000,821,14141078,1616060
10000,822,15542934,1610098
10000,823,16149202,1628138
10000,824,15826768,1603588
10000,825,15931195,1590523
10000,826,12044566,1605427
10000,827,13892011,1613446
10000,828,15002329,1604382
10000,829,11931415,1608647
10000,830,12143430,1617665
10000,831,13958131,1605882
10000,832,14747017,1622561
10000,833,13490429,1625412
10000,834,12414787,1597632
10000,835,15213607,1611963
10000,836,15029277,1587028
10000,837,13708010,1613531
10000,838,13905745,1612305
10000,839,13806840,1607060
10000,840,12919475,1613488
10000,841,14778110,1597891
10000,842,13252140,1611391
10000,843,12603222,1605801
10000,844,12869851,1607041
10000,845,16797403,1606904
10000,846,17063570,1603490
10000,847,19843257,1603599
10000,848,14751118,1602523
10000,849,25187970,1595930
10000,850,23529953,1607768
10000,851,23523623,1628394
10000,852,20594889,1610476
10000,853,15472209,1625026
10000,854,14398237,1602263
10000,855,18820299,1619175
10000,856,22632200,1597968
10000,857,17838851,1599176
10000,858,16102674,1600411
10000,859,14625700,1605487
10000,860,19414229,1617181
10000,861,23299927,1612930
10000,862,24689979,1613413
10000,863,21441037,1618552
10000,864,21565403,1606330
10000,865,19823015,1612619
10000,866,18787361,1598688
10000,867,19019023,1615296
10000,868,18097141,1591270
10000,869,22615736,1627710
10000,870,21515812,1589293
10000,871,20885273,1608010
10000,872,21193473,1617271
10000,873,19125287,1593376
10000,874,21015973,1590228
10000,875,16937989,1595354
10000,876,21817991,1593724
10000,877,17584513,1575723
10000,878,20365853,1609761
10000,879,20081271,1603893
10000,880,19670291,1586985
10000,881,18349761,1618859
10000,882,17912855,1611824
10000,883,21064366,1614699
10000,884,16572752,1600021
10000,885,17839093,1607126
10000,886,21750363,1603590
10000,887,17608035,1613510
10000,888,21061310,1609290
10000,889,18056073,1604036
10000,890,21203947,1605621
10000,891,21085396,1617655
10000,892,22380907,1602386
10000,893,13976961,1609071
10000,894,15582336,1619842
10000,895,16300429,1605492
10000,896,13257016,1607867
10000,897,18822109,1605881
10000,898,18004803,1603160
10000,899,17102305,1622762
10000,900,14009539,1602765
10000,901,15123319,1600440
10000,902,13985881,1618692
10000,903,16043432,1628297
10000,904,14229964,1617821
10000,905,13799022,1621017
10000,906,16265016,1622146
10000,907,16802163,1607860
10000,908,26246273,1609352
10000,909,24387040,1610904
10000,910,19111352,1615310
10000,911,23906807,1614590
10000,912,24943567,1611200
10000,913,26886964,1606950
10000,914,23417075,1617925
10000,915,20127314,1599501
10000,916,35459494,1603991
10000,917,25993291,1608867
10000,918,25232437,1587324
10000,919,19523168,1616533
10000,920,26691415,1626941
10000,921,26290189,1612625
10000,922,20268966,1580299
10000,923,28208188,1610478
10000,924,21733562,1608983
10000,925,24493349,1601609
10000,926,29009009,1632890
10000,927,20823790,1592102
10000,928,18534990,1594991
10000,929,20330402,1612199
10000,930,15689834,1619914
10000,931,14207229,1623526
10000,932,15773978,1619412
10000,933,13690018,1618737
10000,934,16982436,1599894
10000,935,15516243,1605096
10000,936,15909402,1590865
10000,937,15188543,1600475
10000,938,13537786,1592894
10000,939,17886597,1615885
10000,940,15297847,1618983
10000,941,17236972,1606295
10000,942,13694636,1599805
10000,943,20558496,1618215
10000,944,17873949,1602574
10000,945,14037373,1628503
10000,946,18525971,1627125
10000,947,17097825,1595585
10000,948,17219389,1594690
10000,949,14005829,1609422
10000,950,16820114,1620301
10000,951,13831079,1617898
10000,952,16589489,1599253
10000,953,14336307,1589147
10000,954,14579615,1605359
10000,955,15022687,1597620
10000,956,13749968,1614587
10000,957,16114310,1613651
10000,958,16323348,1605540
10000,959,15034560,1619829
10000,960,15376738,1604664
10000,961,14096491,1609064
10000,962,13798054,1630888
10000,963,14895345,1615220
10000,964,13331773,1610468
10000,965,13713806,1614023
10000,966,17331280,1612840
10000,967,12741172,1586858
10000,968,14172692,1600793
10000,969,16283838,1613294
10000,970,15812953,1605402
10000,971,13962921,1611880
10000,972,13345318,1616486
10000,973,15637211,1620127
10000,974,14855073,1612494
10000,975,13582963,1596401
10000,976,13529109,1602006
10000,977,14655694,1612513
10000,978,12328750,1597017
10000,979,13862310,1600660
10000,980,20065338,1610348
10000,981,18948543,1621077
10000,982,13608473,1618942
10000,983,13432422,1630529
10000,984,14916146,1614014
10000,985,15498889,1624602
10000,986,17752163,1593724
10000,987,12534868,1596614
10000,988,12396345,1608115
10000,989,13135846,1611307
10000,990,13532453,1601933
10000,991,12784108,1616617
10000,992,12812359,1596497
10000,993,12848206,1596545
10000,994,12986094,1605988
10000,995,13745071,1627661
10000,996,13260956,1594054
10000,997,13117580,1606710
10000,998,16565004,1607556
10000,999,13099917,1604900
